"Nsat" "Rcore" "Rsat" "gap" "satellite" "wavelength" "total_absorption" "sat_absorption"
50 30 2 1 "Ag" 582 4065.75647265109 38.6787944992705
50 30 2 1 "Ag" 584 3765.15320865572 36.8827901702686
50 30 2 1 "Ag" 586 3487.67217629753 35.1698658631931
50 30 2 1 "Ag" 588 3232.07673397854 33.5417566743534
50 30 2 1 "Ag" 590 2997.01661541021 31.9984535827641
50 30 2 1 "Ag" 592 2781.09132152052 30.5386301491094
50 30 2 1 "Ag" 594 2582.89728227551 29.159996674944
50 30 2 1 "Ag" 596 2401.06170091908 27.859587712446
50 30 2 1 "Ag" 598 2234.26578231036 26.6339908852715
50 30 2 1 "Ag" 600 2081.2597121267 25.4795256267903
50 30 2 1 "Ag" 602 1940.87137781877 24.3923802094655
50 30 2 1 "Ag" 604 1812.01045506337 23.3687147194084
50 30 2 1 "Ag" 606 1693.66915146254 22.4047366863689
50 30 2 1 "Ag" 608 1584.92061362099 21.4967550783576
50 30 2 1 "Ag" 610 1484.91576653791 20.6412174094448
50 30 2 1 "Ag" 612 1392.87916244689 19.8347338403703
50 30 2 1 "Ag" 614 1308.10426438931 19.0740913957337
50 30 2 1 "Ag" 616 1229.94847169153 18.3562607820459
50 30 2 1 "Ag" 618 1157.82810404484 17.6783977609666
50 30 2 1 "Ag" 620 1091.21349256594 17.0378405999029
50 30 2 1 "Ag" 622 1029.62427532802 16.4321047742189
50 30 2 1 "Ag" 624 972.624957486804 15.8588758181861
50 30 2 1 "Ag" 626 919.820769116005 15.3160010030605
50 30 2 1 "Ag" 628 870.853834698651 14.8014803493747
50 30 2 1 "Ag" 630 825.399654926249 14.3134573474046
50 30 2 1 "Ag" 632 783.163892517113 13.8502096569723
50 30 2 1 "Ag" 634 743.879448014276 13.4101399790123
50 30 2 1 "Ag" 636 707.303808080901 12.9917672313731
50 30 2 1 "Ag" 638 673.216647014501 12.5937181161185
50 30 2 1 "Ag" 640 641.417661556658 12.2147191317823
50 30 2 1 "Ag" 642 611.724619217669 11.8535890590246
50 30 2 1 "Ag" 644 583.971600998402 11.5092319299149
50 30 2 1 "Ag" 646 558.007420381126 11.1806304780034
50 30 2 1 "Ag" 648 533.694201638645 10.8668400572128
50 30 2 1 "Ag" 650 510.906101778863 10.5669830114127
50 30 2 1 "Ag" 652 489.528161732542 10.280243472587
50 30 2 1 "Ag" 654 469.455273659842 10.0058625632029
50 30 2 1 "Ag" 656 450.591252466881 9.74313397728418
50 30 2 1 "Ag" 658 432.848000768861 9.4913999144656
50 30 2 1 "Ag" 660 416.14475760181 9.2500473416885
50 30 2 1 "Ag" 662 400.407422166156 9.01850455801235
50 30 2 1 "Ag" 664 385.567944782367 8.7962380391001
50 30 2 1 "Ag" 666 371.563778053856 8.58274953920315
50 30 2 1 "Ag" 668 358.337381969504 8.37757342982405
50 30 2 1 "Ag" 670 345.835777342185 8.18027425562845
50 30 2 1 "Ag" 672 334.010142576396 7.99044448956401
50 30 2 1 "Ag" 674 322.815449292757 7.80770247049644
50 30 2 1 "Ag" 676 312.210132815527 7.63169050797597
50 30 2 1 "Ag" 678 302.155793956632 7.46207313998027
50 30 2 1 "Ag" 680 292.616928911011 7.29853553064378
50 30 2 1 "Ag" 682 283.560684418048 7.14078199606995
50 30 2 1 "Ag" 684 274.956635646923 6.98853464733471
50 30 2 1 "Ag" 686 266.776584533462 6.84153214072269
50 30 2 1 "Ag" 688 258.994376536506 6.69952852610029
50 30 2 1 "Ag" 690 251.58573399583 6.56229218512232
50 30 2 1 "Ag" 692 244.528104464173 6.42960485169556
50 30 2 1 "Ag" 694 237.800522555852 6.30126070778767
50 30 2 1 "Ag" 696 231.383484005586 6.17706554827536
50 30 2 1 "Ag" 698 225.258830765978 6.05683600908515
50 30 2 1 "Ag" 700 219.409646092367 5.94039885337934
50 30 2 1 "Ag" 702 213.820158670869 5.82759031100625
50 30 2 1 "Ag" 704 208.475654941194 5.71825546684779
50 30 2 1 "Ag" 706 203.36239885118 5.6122476940845
50 30 2 1 "Ag" 708 198.46755835637 5.50942812873915
50 30 2 1 "Ag" 710 193.77913804617 5.40966518218183
50 30 2 1 "Ag" 712 189.285917339135 5.31283408856129
50 30 2 1 "Ag" 714 184.977393744602 5.21881648439333
50 30 2 1 "Ag" 716 180.84373073684 5.12750001776891
50 30 2 1 "Ag" 718 176.875709831649 5.03877798486783
50 30 2 1 "Ag" 720 173.064686494859 4.95254899165297
50 30 2 1 "Ag" 722 169.402549547307 4.86871663880564
50 30 2 1 "Ag" 724 165.881683762724 4.7871892281204
50 30 2 1 "Ag" 726 162.49493538342 4.70787948872935
50 30 2 1 "Ag" 728 159.235580304328 4.63070432166034
50 30 2 1 "Ag" 730 156.097294699017 4.55558456135537
50 30 2 1 "Ag" 732 153.074127882156 4.48244475288937
50 30 2 1 "Ag" 734 150.160477221573 4.41121294373248
50 30 2 1 "Ag" 736 147.351064930051 4.34182048898977
50 30 2 1 "Ag" 738 144.640916582235 4.27420186914105
50 30 2 1 "Ag" 740 142.025341215814 4.20829451938
50 30 2 1 "Ag" 742 139.499912888653 4.1440386697216
50 30 2 1 "Ag" 744 137.060453574822 4.08137719511569
50 30 2 1 "Ag" 746 134.703017292657 4.02025547486119
50 30 2 1 "Ag" 748 132.42387536734 3.96062126067029
50 30 2 1 "Ag" 750 130.219502738756 3.90242455278498
100 30 2 1 "Ag" 350 5434.70448423669 144.811621647608
100 30 2 1 "Ag" 352 5406.97043232548 161.137029688463
100 30 2 1 "Ag" 354 5376.32102331996 180.043653571475
100 30 2 1 "Ag" 356 5342.37074985845 202.057116149178
100 30 2 1 "Ag" 358 5304.74308745214 227.832541211418
100 30 2 1 "Ag" 360 5263.10486073135 258.19093156896
100 30 2 1 "Ag" 362 5217.22382114971 294.166168871695
100 30 2 1 "Ag" 364 5167.06387808831 337.065166074288
100 30 2 1 "Ag" 366 5112.94104601341 388.54345934969
100 30 2 1 "Ag" 368 5055.7762774844 450.697087956431
100 30 2 1 "Ag" 370 4997.49999954274 526.16761230486
100 30 2 1 "Ag" 372 4941.68609813366 618.248188358713
100 30 2 1 "Ag" 374 4894.51094033202 730.961297591665
100 30 2 1 "Ag" 376 4866.11415172367 869.049843535178
100 30 2 1 "Ag" 378 4872.29928897908 1037.78506760022
100 30 2 1 "Ag" 380 4936.07646426683 1242.46368706824
100 30 2 1 "Ag" 382 5087.52605248598 1487.46167918368
100 30 2 1 "Ag" 384 5358.60947192762 1774.59838401696
100 30 2 1 "Ag" 386 5767.32329979478 2099.51310204261
100 30 2 1 "Ag" 388 6286.23210895948 2441.10285692651
100 30 2 1 "Ag" 390 6806.67160497801 2737.3779150401
100 30 2 1 "Ag" 392 7160.18734873216 2871.24195539176
100 30 2 1 "Ag" 394 7257.74347424129 2745.94760611823
100 30 2 1 "Ag" 396 7188.22110314183 2409.82550494894
100 30 2 1 "Ag" 398 7094.3225009164 2010.21680022235
100 30 2 1 "Ag" 400 7037.3220446073 1649.49087093572
100 30 2 1 "Ag" 402 7012.45567176608 1356.58527492015
100 30 2 1 "Ag" 404 7001.19238869743 1126.26562734587
100 30 2 1 "Ag" 406 6991.17401563927 945.639082578256
100 30 2 1 "Ag" 408 6977.02478737136 802.863781160426
100 30 2 1 "Ag" 410 6957.39391689156 688.748812549373
100 30 2 1 "Ag" 412 6932.71695116961 596.473263826539
100 30 2 1 "Ag" 414 6904.03431188437 521.013882592049
100 30 2 1 "Ag" 416 6872.4659632476 458.652362185963
100 30 2 1 "Ag" 418 6839.01448796536 406.609876405933
100 30 2 1 "Ag" 420 6804.51453826779 362.786862068019
